,Phone Name,Link
11,"Xiaomi 12 Pro 5G (Opera Mauve, 256 GB)",https://www.flipkart.com/xiaomi-12-pro-5g-opera-mauve-256-gb/p/itm0db1fada67a31?pid=MOBGDZ7XXB7RSNMF&lid=LSTMOBGDZ7XXB7RSNMF85EDOW&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_12&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBGDZ7XXB7RSNMF.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
12,"REDMI Note 11 Pro (Stealth Black, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-stealth-black-128-gb/p/itm22dabad45827d?pid=MOBGHDXJW5UQFMTZ&lid=LSTMOBGHDXJW5UQFMTZGHIONM&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_13&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBGHDXJW5UQFMTZ.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
13,"REDMI Note 11 Pro (Phantom White, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-phantom-white-128-gb/p/itme7022ee103b26?pid=MOBGHDXFUUKAHQR3&lid=LSTMOBGHDXFUUKAHQR38X0ALF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_14&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBGHDXFUUKAHQR3.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
14,"Xiaomi 11i 5G (Stealth Black, 128 GB)",https://www.flipkart.com/xiaomi-11i-5g-stealth-black-128-gb/p/itm249f02e9d80d2?pid=MOBGZF9PGTGBNYD3&lid=LSTMOBGZF9PGTGBNYD3TVMLJP&marketplace=FLIPKART&store=tyy%2F4io&spotlightTagId=TrendingId_tyy%2F4io&srno=b_1_15&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBGZF9PGTGBNYD3.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
15,"Mi 10T (Cosmic Black, 128 GB)",https://www.flipkart.com/mi-10t-cosmic-black-128-gb/p/itm58cc0f1ad2682?pid=MOBFWAFZPGHZSHA7&lid=LSTMOBFWAFZPGHZSHA7IVUTXJ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_16&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBFWAFZPGHZSHA7.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
16,"12 (Silver, 128 GB)",https://www.flipkart.com/12-silver-128-gb/p/itm52eeb140d6985?pid=MOBGSEMZ6NMHGGCF&lid=LSTMOBGSEMZ6NMHGGCFU5ZQ11&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_17&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBGSEMZ6NMHGGCF.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
17,"Xiaomi 14 CIVI (Shadow Black, 256 GB)",https://www.flipkart.com/xiaomi-14-civi-shadow-black-256-gb/p/itmdf7287cef4f11?pid=MOBHFGU7EJXG5M4M&lid=LSTMOBHFGU7EJXG5M4MD7JVA7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_18&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBHFGU7EJXG5M4M.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
18,"Mi 11X (Lunar White, 128 GB)",https://www.flipkart.com/mi-11x-lunar-white-128-gb/p/itmabc334b32f605?pid=MOBG36HS9EMQYJEW&lid=LSTMOBG36HS9EMQYJEWZ64G0E&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_19&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBG36HS9EMQYJEW.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
19,"REDMI Note 11 Pro (Stealth Black, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-stealth-black-128-gb/p/itm93f6b9c28c056?pid=MOBGHDXFPWKFSFJ2&lid=LSTMOBGHDXFPWKFSFJ2XQDN7G&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_20&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBGHDXFPWKFSFJ2.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
20,"Xiaomi 11i 5G (Purple Mist, 128 GB)",https://www.flipkart.com/xiaomi-11i-5g-purple-mist-128-gb/p/itm72ac9a61a08a1?pid=MOBG9QXPSQHXHX6S&lid=LSTMOBG9QXPSQHXHX6SHKWAU0&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_21&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBG9QXPSQHXHX6S.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
21,"Redmi Note 7 (Sapphire Blue, 32 GB)",https://www.flipkart.com/redmi-note-7-sapphire-blue-32-gb/p/itmfdzvfcuthuhvk?pid=MOBFDXZ3TVHJFD8E&lid=LSTMOBFDXZ3TVHJFD8EMBCWA1&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_22&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBFDXZ3TVHJFD8E.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
22,"Mi 11X (Cosmic Black, 128 GB)",https://www.flipkart.com/mi-11x-cosmic-black-128-gb/p/itmabc334b32f605?pid=MOBG36HSAGKKEVWV&lid=LSTMOBG36HSAGKKEVWVOQMKPE&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_23&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBG36HSAGKKEVWV.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
23,"REDMI Note 11 Pro (Star blue, 128 GB)",https://www.flipkart.com/redmi-note-11-pro-star-blue-128-gb/p/itme7022ee103b26?pid=MOBGHDXFFGEFRZZY&lid=LSTMOBGHDXFFGEFRZZYPVCD0T&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_24&otracker=nmenu_sub_Electronics_0_Mi&fm=organic&iid=0318c0bd-5486-48a7-b30d-1da0384225ec.MOBGHDXFFGEFRZZY.SEARCH&ppt=None&ppn=None&ssid=ca1zwyg6fk0000001719570390689
